Kanji,Grade_2017,Order_2017
英,4,448
栄,4,449
媛,4,450
塩,4,451
岡,4,452
億,4,453
加,4,454
果,4,455
貨,4,456
課,4,457
芽,4,458
賀,4,459
改,4,460
械,4,461
害,4,462
街,4,463
各,4,464
覚,4,465
潟,4,466
完,4,467
官,4,468
管,4,469
関,4,470
観,4,471
願,4,472
岐,4,473
希,4,474
季,4,475
旗,4,476
器,4,477
機,4,478
議,4,479
求,4,480
泣,4,481
給,4,482
挙,4,483
漁,4,484
共,4,485
協,4,486
鏡,4,487
競,4,488
極,4,489
熊,4,490
訓,4,491
軍,4,492
郡,4,493
群,4,494
径,4,495
景,4,496
芸,4,497
欠,4,498
結,4,499
建,4,500
健,4,501
験,4,502
固,4,503
功,4,504
好,4,505
香,4,506
候,4,507
康,4,508
佐,4,509
差,4,510
菜,4,511
最,4,512
埼,4,513
材,4,514
崎,4,515
昨,4,516
札,4,517
刷,4,518
察,4,519
参,4,520
産,4,521
散,4,522
残,4,523
氏,4,524
司,4,525
試,4,526
児,4,527
治,4,528
滋,4,529
辞,4,530
鹿,4,531
失,4,532
借,4,533
種,4,534
周,4,535
祝,4,536
順,4,537
初,4,538
松,4,539
笑,4,540
唱,4,541
焼,4,542
照,4,543
城,4,544
縄,4,545
臣,4,546
信,4,547
井,4,548
成,4,549
省,4,550
清,4,551
静,4,552
席,4,553
積,4,554
折,4,555
節,4,556
説,4,557
浅,4,558
戦,4,559
選,4,560
然,4,561
争,4,562
倉,4,563
巣,4,564
束,4,565
側,4,566
続,4,567
卒,4,568
孫,4,569
帯,4,570
隊,4,571
達,4,572
単,4,573
置,4,574
仲,4,575
沖,4,576
兆,4,577
低,4,578
底,4,579
的,4,580
典,4,581
伝,4,582
徒,4,583
努,4,584
灯,4,585
働,4,586
特,4,587
徳,4,588
栃,4,589
奈,4,590
梨,4,591
熱,4,592
念,4,593
敗,4,594
梅,4,595
博,4,596
阪,4,597
飯,4,598
飛,4,599
必,4,600
票,4,601
標,4,602
不,4,603
夫,4,604
付,4,605
府,4,606
阜,4,607
富,4,608
副,4,609
兵,4,610
別,4,611
辺,4,612
変,4,613
便,4,614
包,4,615
法,4,616
望,4,617
牧,4,618
末,4,619
満,4,620
未,4,621
民,4,622
無,4,623
約,4,624
勇,4,625
要,4,626
養,4,627
浴,4,628
利,4,629
陸,4,630
良,4,631
料,4,632
量,4,633
輪,4,634
類,4,635
令,4,636
冷,4,637
例,4,638
連,4,639
老,4,640
労,4,641
録,4,642
圧,5,643
囲,5,644
移,5,645
因,5,646
永,5,647
営,5,648
衛,5,649
易,5,650
益,5,651
液,5,652
演,5,653
応,5,654
往,5,655
桜,5,656
可,5,657
仮,5,658
価,5,659
河,5,660
過,5,661
快,5,662
解,5,663
格,5,664
確,5,665
額,5,666
刊,5,667
幹,5,668
慣,5,669
眼,5,670
紀,5,671
基,5,672
寄,5,673
規,5,674
喜,5,675
技,5,676
義,5,677
逆,5,678
久,5,679
旧,5,680
救,5,681
居,5,682
許,5,683
境,5,684
均,5,685
禁,5,686
句,5,687
型,5,688
経,5,689
潔,5,690
件,5,691
険,5,692
検,5,693
限,5,694
現,5,695
減,5,696
故,5,697
個,5,698
護,5,699
効,5,700
厚,5,701
耕,5,702
航,5,703
鉱,5,704
構,5,705
興,5,706
講,5,707
告,5,708
混,5,709
査,5,710
再,5,711
災,5,712
妻,5,713
採,5,714
際,5,715
在,5,716
財,5,717
罪,5,718
殺,5,719
雑,5,720
酸,5,721
賛,5,722
士,5,723
支,5,724
史,5,725
志,5,726
枝,5,727
師,5,728
資,5,729
飼,5,730
示,5,731
似,5,732
識,5,733
質,5,734
舎,5,735
謝,5,736
授,5,737
修,5,738
述,5,739
術,5,740
準,5,741
序,5,742
招,5,743
証,5,744
象,5,745
賞,5,746
条,5,747
状,5,748
常,5,749
情,5,750
織,5,751
職,5,752
制,5,753
性,5,754
政,5,755
勢,5,756
精,5,757
製,5,758
税,5,759
責,5,760
績,5,761
接,5,762
設,5,763
絶,5,764
祖,5,765
素,5,766
総,5,767
造,5,768
像,5,769
増,5,770
則,5,771
測,5,772
属,5,773
率,5,774
損,5,775
貸,5,776
態,5,777
団,5,778
断,5,779
築,5,780
貯,5,781
張,5,782
停,5,783
提,5,784
程,5,785
適,5,786
統,5,787
堂,5,788
銅,5,789
導,5,790
得,5,791
毒,5,792
独,5,793
任,5,794
燃,5,795
能,5,796
破,5,797
犯,5,798
判,5,799
版,5,800
比,5,801
肥,5,802
非,5,803
費,5,804
備,5,805
評,5,806
貧,5,807
布,5,808
婦,5,809
武,5,810
復,5,811
複,5,812
仏,5,813
粉,5,814
編,5,815
弁,5,816
保,5,817
墓,5,818
報,5,819
豊,5,820
防,5,821
貿,5,822
暴,5,823
脈,5,824
務,5,825
夢,5,826
迷,5,827
綿,5,828
輸,5,829
余,5,830
容,5,831
略,5,832
留,5,833
領,5,834
歴,5,835
胃,6,836
異,6,837
遺,6,838
域,6,839
宇,6,840
映,6,841
延,6,842
沿,6,843
恩,6,844
我,6,845
灰,6,846
拡,6,847
革,6,848
閣,6,849
割,6,850
株,6,851
干,6,852
巻,6,853
看,6,854
簡,6,855
危,6,856
机,6,857
揮,6,858
貴,6,859
疑,6,860
吸,6,861
供,6,862
胸,6,863
郷,6,864
勤,6,865
筋,6,866
系,6,867
敬,6,868
警,6,869
劇,6,870
激,6,871
穴,6,872
券,6,873
絹,6,874
権,6,875
憲,6,876
源,6,877
厳,6,878
己,6,879
呼,6,880
誤,6,881
后,6,882
孝,6,883
皇,6,884
紅,6,885
降,6,886
鋼,6,887
刻,6,888
穀,6,889
骨,6,890
困,6,891
砂,6,892
座,6,893
済,6,894
裁,6,895
策,6,896
冊,6,897
蚕,6,898
至,6,899
私,6,900
姿,6,901
視,6,902
詞,6,903
誌,6,904
磁,6,905
射,6,906
捨,6,907
尺,6,908
若,6,909
樹,6,910
収,6,911
宗,6,912
就,6,913
衆,6,914
従,6,915
縦,6,916
縮,6,917
熟,6,918
純,6,919
処,6,920
署,6,921
諸,6,922
除,6,923
承,6,924
将,6,925
傷,6,926
障,6,927
蒸,6,928
針,6,929
仁,6,930
垂,6,931
推,6,932
寸,6,933
盛,6,934
聖,6,935
誠,6,936
舌,6,937
宣,6,938
専,6,939
泉,6,940
洗,6,941
染,6,942
銭,6,943
善,6,944
奏,6,945
窓,6,946
創,6,947
装,6,948
層,6,949
操,6,950
蔵,6,951
臓,6,952
存,6,953
尊,6,954
退,6,955
宅,6,956
担,6,957
探,6,958
誕,6,959
段,6,960
暖,6,961
値,6,962
宙,6,963
忠,6,964
著,6,965
庁,6,966
頂,6,967
腸,6,968
潮,6,969
賃,6,970
痛,6,971
敵,6,972
展,6,973
討,6,974
党,6,975
糖,6,976
届,6,977
難,6,978
乳,6,979
認,6,980
納,6,981
脳,6,982
派,6,983
拝,6,984
背,6,985
肺,6,986
俳,6,987
班,6,988
晩,6,989
否,6,990
批,6,991
秘,6,992
俵,6,993
腹,6,994
奮,6,995
並,6,996
陛,6,997
閉,6,998
片,6,999
補,6,1000
暮,6,1001
宝,6,1002
訪,6,1003
亡,6,1004
忘,6,1005
棒,6,1006
枚,6,1007
幕,6,1008
密,6,1009
盟,6,1010
模,6,1011
訳,6,1012
郵,6,1013
優,6,1014
預,6,1015
幼,6,1016
欲,6,1017
翌,6,1018
乱,6,1019
卵,6,1020
覧,6,1021
裏,6,1022
律,6,1023
臨,6,1024
朗,6,1025
論,6,1026
